Date,Price,Open,High,Low,Volume,Change,Country
2011-05-19,5428.1,5448.15,5452.6,5411.25,94.18,0.14,India
2011-05-18,5420.6,5448.2,5460.5,5401.25,107.36,-0.34,India
2011-05-17,5438.95,5496.1,5523.85,5421.05,109.2,-1.09,India
2011-05-16,5499.0,5541.7,5541.8,5487.65,94.22,-0.83,India
2011-05-13,5544.75,5492.35,5605.0,5472.15,119.42,1.07,India
2011-05-12,5486.15,5537.8,5572.5,5476.3,91.63,-1.42,India
2011-05-11,5565.05,5547.2,5574.7,5525.0,82.51,0.43,India
2011-05-10,5541.25,5555.55,5592.9,5514.55,88.82,-0.18,India
2011-05-09,5551.1,5575.2,5586.05,5502.4,75.44,-0.01,India
2011-05-06,5551.45,5477.65,5564.4,5472.45,122.68,1.68,India
2011-05-05,5459.85,5531.6,5560.3,5443.65,126.43,-1.4,India
2011-05-04,5537.15,5567.7,5578.8,5503.0,119.08,-0.5,India
2011-05-03,5565.25,5689.7,5710.8,5554.85,125.52,-2.39,India
2011-05-02,5701.3,5766.9,5775.25,5687.7,86.51,-0.84,India
2011-04-29,5749.5,5782.5,5804.3,5706.05,184.75,-0.62,India
2011-04-28,5785.45,5851.35,5856.4,5776.95,159.34,-0.83,India
2011-04-27,5833.9,5884.2,5892.35,5819.95,108.74,-0.59,India
